Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637256122,10,GET,microsoft,1.100000,0.000000,220,370,410,410,720,780,780,780,780,780,780,17,0,220.0,318.5631561774404,156.6986990001169,775.9084650024306,210697.35294117648
1637256122,10,,Aggregated,2.300000,0.000000,190,220,230,230,410,720,780,780,780,780,780,35,0,190.0,217.01404871502226,42.981669001164846,775.9084650024306,123396.42857142857
1637256123,10,GET,facebook,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,7,0,220.0,210.9625825718727,178.84301900630817,234.0982219975558,81840.14285714286
1637256123,10,GET,google,0.800000,0.000000,58,71,72,79,82,82,82,82,82,82,82,11,0,71,63.92545200056206,42.981669001164846,83.00952999707079,14921.727272727272
1637256123,10,GET,microsoft,1.200000,0.000000,210,370,410,410,720,780,780,780,780,780,780,18,0,210.0,311.2122655010252,156.6986990001169,775.9084650024306,210692.11111111112
1637256123,10,,Aggregated,2.500000,0.000000,190,220,230,230,410,410,780,780,780,780,780,36,0,190.0,216.15941191743735,42.981669001164846,775.9084650024306,125818.83333333333
1637256124,10,GET,facebook,0.600000,0.000000,220,230,230,230,230,230,230,230,230,230,230,8,0,200.0,201.41450575010822,134.5779679977568,234.0982219975558,81840.25
1637256124,10,GET,google,0.900000,0.000000,61,72,78,78,79,82,82,82,82,82,82,15,0,71,64.62456620114001,42.981669001164846,83.00952999707079,14922.266666666666
1637256124,10,GET,microsoft,1.300000,0.000000,220,370,410,410,510,780,780,780,780,780,780,21,0,220.0,315.7376851439559,156.6986990001169,775.9084650024306,210699.66666666666
1637256124,10,,Aggregated,2.800000,0.000000,180,200,230,230,410,510,780,780,780,780,780,44,0,180.0,209.34490743275092,42.981669001164846,775.9084650024306,120528.38636363637
1637256125,10,GET,facebook,0.600000,0.000000,220,230,230,230,230,230,230,230,230,230,230,8,0,200.0,201.41450575010822,134.5779679977568,234.0982219975558,81840.25
1637256125,10,GET,google,0.900000,0.000000,56,61,72,72,77,78,78,78,78,78,78,17,0,61,63.43351382469444,42.981669001164846,83.00952999707079,14920.529411764706
1637256125,10,GET,microsoft,1.300000,0.000000,220,370,410,410,510,780,780,780,780,780,780,21,0,220.0,315.7376851439559,156.6986990001169,775.9084650024306,210699.66666666666
1637256125,10,,Aggregated,2.800000,0.000000,180,200,230,340,410,510,780,780,780,780,780,46,0,180.0,202.6125471531249,42.981669001164846,775.9084650024306,115936.17391304347
1637256126,10,GET,facebook,0.600000,0.000000,220,220,230,230,230,230,230,230,230,230,230,9,0,210.0,201.85431844503103,134.5779679977568,234.0982219975558,81840.0
1637256126,10,GET,google,0.900000,0.000000,58,61,72,77,78,78,78,78,78,78,78,17,0,61,63.43351382469444,42.981669001164846,83.00952999707079,14920.529411764706
1637256126,10,GET,microsoft,1.300000,0.000000,340,370,410,410,510,780,780,780,780,780,780,21,0,220.0,315.7376851439559,156.6986990001169,775.9084650024306,210699.66666666666
1637256126,10,,Aggregated,2.800000,0.000000,180,210,230,340,410,510,780,780,780,780,780,47,0,180.0,202.6712763627268,42.981669001164846,775.9084650024306,115210.68085106384
1637256127,10,GET,facebook,0.600000,0.000000,210,210,220,220,230,230,230,230,230,230,230,11,0,210.0,199.17431127264123,134.5779679977568,234.0982219975558,81839.45454545454
1637256127,10,GET,google,1.200000,0.000000,56,58,61,77,78,78,78,78,78,78,78,18,0,58,62.740238223341294,42.981669001164846,83.00952999707079,14920.722222222223
1637256127,10,GET,microsoft,1.300000,0.000000,220,340,410,410,510,780,780,780,780,780,780,24,0,210.0,305.74457087611034,156.6986990001169,775.9084650024306,210648.70833333334
1637256127,10,,Aggregated,3.100000,0.000000,180,210,220,330,410,510,780,780,780,780,780,53,0,180.0,201.09644175558196,42.981669001164846,775.9084650024306,117441.05660377358
1637256128,10,GET,facebook,0.500000,0.000000,210,210,220,220,230,230,230,230,230,230,230,12,0,200.0,194.6627779167708,134.5779679977568,234.0982219975558,81840.0
1637256128,10,GET,google,1.400000,0.000000,53,58,61,61,77,78,78,78,78,78,78,19,0,58,62.20598473775777,42.981669001164846,83.00952999707079,14921.78947368421
1637256128,10,GET,microsoft,1.400000,0.000000,210,340,410,410,510,780,780,780,780,780,780,24,0,210.0,305.74457087611034,156.6986990001169,775.9084650024306,210648.70833333334
1637256128,10,,Aggregated,3.300000,0.000000,180,210,220,230,410,510,780,780,780,780,780,55,0,180.0,197.3770317462781,42.981669001164846,775.9084650024306,114930.23636363636
1637256129,10,GET,facebook,0.500000,0.000000,200,210,210,210,220,220,220,220,220,220,220,12,0,200.0,194.6627779167708,134.5779679977568,234.0982219975558,81840.0
1637256129,10,GET,google,1.100000,0.000000,53,58,61,61,77,78,78,78,78,78,78,20,0,56,61.7048865511606,42.981669001164846,83.00952999707079,14921.7
1637256129,10,GET,microsoft,1.300000,0.000000,210,330,410,410,510,780,780,780,780,780,780,25,0,210.0,301.0073916410329,156.6986990001169,775.9084650024306,210646.88
1637256129,10,,Aggregated,2.900000,0.000000,170,190,210,220,410,510,780,780,780,780,780,57,0,180.0,194.65326065000497,42.981669001164846,775.9084650024306,114854.14035087719
1637256130,10,GET,facebook,0.700000,0.000000,170,180,200,210,210,210,210,210,210,210,210,15,0,190.0,187.71317719996054,134.5779679977568,234.0982219975558,81839.8
1637256130,10,GET,google,1.100000,0.000000,53,58,61,61,77,78,78,78,78,78,78,20,0,56,61.7048865511606,42.981669001164846,83.00952999707079,14921.7
1637256130,10,GET,microsoft,1.500000,0.000000,190,210,330,340,510,510,510,510,510,510,510,25,0,210.0,301.0073916410329,156.6986990001169,775.9084650024306,210646.88
1637256130,10,,Aggregated,3.300000,0.000000,150,180,190,210,330,340,510,510,510,510,510,60,0,180.0,192.9163363341407,42.981669001164846,775.9084650024306,113203.38333333333
1637256131,10,GET,facebook,0.800000,0.000000,160,180,200,200,210,210,210,210,210,210,210,17,0,180.0,183.7910858234596,134.5779679977568,234.0982219975558,81839.70588235294
1637256131,10,GET,google,1.100000,0.000000,53,58,61,61,77,78,78,78,78,78,78,20,0,56,61.7048865511606,42.981669001164846,83.00952999707079,14921.7
1637256131,10,GET,microsoft,1.400000,0.000000,190,210,330,340,510,510,510,510,510,510,510,27,0,210.0,290.87717692702967,150.04453300207388,775.9084650024306,210643.7037037037
1637256131,10,,Aggregated,3.300000,0.000000,150,180,190,210,330,340,510,510,510,510,510,64,0,170.0,190.81609323518478,42.981669001164846,775.9084650024306,115267.015625
1637256132,10,GET,facebook,1.000000,0.000000,160,170,180,180,210,210,210,210,210,210,210,18,0,180.0,183.24830516657028,134.5779679977568,234.0982219975558,81839.77777777778
1637256132,10,GET,google,1.100000,0.000000,56,61,77,78,280,280,280,280,280,280,280,21,0,58,71.98966676306944,42.981669001164846,277.6852710012463,14921.809523809523
1637256132,10,GET,microsoft,1.200000,0.000000,190,210,330,340,510,510,510,510,510,510,510,28,0,190.0,286.9943230369764,150.04453300207388,775.9084650024306,210655.67857142858
1637256132,10,,Aggregated,3.300000,0.000000,160,180,190,210,280,340,510,510,510,510,510,67,0,180.0,191.7327394038517,42.981669001164846,775.9084650024306,114699.0
1637256133,10,GET,facebook,1.100000,0.000000,160,170,180,180,210,210,210,210,210,210,210,18,0,180.0,183.24830516657028,134.5779679977568,234.0982219975558,81839.77777777778
1637256133,10,GET,google,1.100000,0.000000,78,160,160,280,1400,1400,1400,1400,1400,1400,1400,24,0,61,133.90218245937527,42.981669001164846,1385.0322409998626,14918.875
1637256133,10,GET,microsoft,1.000000,0.000000,190,210,320,330,510,510,510,510,510,510,510,30,0,190.0,284.40395456782426,150.04453300207388,775.9084650024306,210677.16666666666
1637256133,10,,Aggregated,3.200000,0.000000,170,180,210,210,330,510,1400,1400,1400,1400,1400,72,0,180.0,208.94778484802777,42.981669001164846,1385.0322409998626,113215.05555555556
1637256134,10,GET,facebook,1.100000,0.000000,170,170,180,210,210,210,210,210,210,210,210,18,0,180.0,183.24830516657028,134.5779679977568,234.0982219975558,81839.77777777778
1637256134,10,GET,google,1.000000,0.000000,78,160,270,270,280,1400,1400,1400,1400,1400,1400,25,0,71,139.14936388086062,42.981669001164846,1385.0322409998626,14919.48
1637256134,10,GET,microsoft,1.000000,0.000000,190,280,320,320,330,510,510,510,510,510,510,31,0,210.0,284.3074459364758,150.04453300207388,775.9084650024306,210644.67741935485
1637256134,10,,Aggregated,3.100000,0.000000,180,190,210,270,320,330,1400,1400,1400,1400,1400,74,0,180.0,210.68560018987202,42.981669001164846,1385.0322409998626,113190.37837837837
1637256135,10,GET,facebook,1.100000,0.000000,160,170,170,180,210,210,210,210,210,210,210,19,0,180.0,180.94670957859643,134.5779679977568,234.0982219975558,81839.63157894737
1637256135,10,GET,google,1.100000,0.000000,160,270,280,280,1400,1400,1400,1400,1400,1400,1400,25,0,71,139.14936388086062,42.981669001164846,1385.0322409998626,14919.48
1637256135,10,GET,microsoft,1.200000,0.000000,180,210,280,280,320,330,330,330,330,330,330,32,0,190.0,281.1165966259068,150.04453300207388,775.9084650024306,210614.15625
1637256135,10,,Aggregated,3.400000,0.000000,170,180,210,270,320,330,1400,1400,1400,1400,1400,76,0,180.0,209.37437725057717,42.981669001164846,1385.0322409998626,114047.27631578948
1637256136,10,GET,facebook,1.000000,0.000000,150,160,170,180,210,210,210,210,210,210,210,20,0,180.0,182.42491584969684,134.5779679977568,234.0982219975558,81839.55
1637256136,10,GET,google,1.000000,0.000000,160,270,280,280,1400,1400,1400,1400,1400,1400,1400,25,0,71,139.14936388086062,42.981669001164846,1385.0322409998626,14919.48
1637256136,10,GET,microsoft,1.100000,0.000000,190,230,260,280,320,330,330,330,330,330,330,34,0,210.0,278.8185843537041,150.04453300207388,775.9084650024306,210586.11764705883
1637256136,10,,Aggregated,3.100000,0.000000,180,190,230,260,280,320,1400,1400,1400,1400,1400,79,0,180.0,210.2160035701442,42.981669001164846,1385.0322409998626,116072.22784810126
1637256137,10,GET,facebook,1.000000,0.000000,160,170,180,180,180,210,210,210,210,210,210,22,0,180.0,181.1038429543921,134.5779679977568,234.0982219975558,81839.54545454546
1637256137,10,GET,google,0.800000,0.000000,160,270,280,280,1400,1400,1400,1400,1400,1400,1400,26,0,71,140.06166265468121,42.981669001164846,1385.0322409998626,14919.653846153846
1637256137,10,GET,microsoft,1.000000,0.000000,190,230,260,260,280,320,320,320,320,320,320,35,0,210.0,276.3435996006592,150.04453300207388,775.9084650024306,210559.88571428572
